path,relative_path,filename,label,label_idx,sha256,phash,group,split
data/raw/benign/100.jpg,benign\100.jpg,100.jpg,benign,0,2f906e4d5823b1bac6951cd70990fb0d81134facb8dca2002445540a6f82a6c2,1000000010001110100011101000111010011110100011100100101101100011,sha:2f906e4d5823b1bac6951cd70990fb0d81134facb8dca2002445540a6f82a6c2,train
data/raw/benign/1000.jpg,benign\1000.jpg,1000.jpg,benign,0,9509be1247b0985bfa4c437d32a1304ae654c6745e70a7834f5bdce1ccfe7ee3,1111010011110110110001111000011110000111100011111000011010110010,sha:9509be1247b0985bfa4c437d32a1304ae654c6745e70a7834f5bdce1ccfe7ee3,train
data/raw/benign/1001.jpg,benign\1001.jpg,1001.jpg,benign,0,9a30b0b0d78eae3c1d862a1bdf622469e12120a9af7b0b461822a7995cea22b9,0100110010001110100001110000011100010111000001111000111010001110,sha:9a30b0b0d78eae3c1d862a1bdf622469e12120a9af7b0b461822a7995cea22b9,train
data/raw/benign/1002.jpg,benign\1002.jpg,1002.jpg,benign,0,61dbce6f6d5fc7091b8fa61d2f54492123b9a59301c295bd9d065822aa08a4a4,1111000011110000110001001100011011101100111000001110000011110000,sha:61dbce6f6d5fc7091b8fa61d2f54492123b9a59301c295bd9d065822aa08a4a4,train
data/raw/benign/1004.jpg,benign\1004.jpg,1004.jpg,benign,0,0f69b1e138a619df8158b995832dc07b91ea8ad7ceff78278aefcc85aca2d161,0111011011111110101111100011111000101111000011110001111110011111,sha:0f69b1e138a619df8158b995832dc07b91ea8ad7ceff78278aefcc85aca2d161,train
data/raw/benign/1005.jpg,benign\1005.jpg,1005.jpg,benign,0,4952f38260fe8dcf56cf9bb2887cfafc2f7962147257ae9eaa1eb9d9a28cebe1,1111000011110000111100001100100011001000111010001111000011110000,sha:572abf023abf2f1e661bcbc7e1dd7ef3f0c1de0e028da3b6d6e3ba010d4ee898,train
data/raw/benign/1008.jpg,benign\1008.jpg,1008.jpg,benign,0,00855c27ab1879203599f6e041be217ae0568caab89b042a490cbaeba5d2623b,1000110010001110100011100000111000001110100011101100111011001000,sha:00855c27ab1879203599f6e041be217ae0568caab89b042a490cbaeba5d2623b,train
data/raw/benign/1009.jpg,benign\1009.jpg,1009.jpg,benign,0,ff88146bf7ff65311b8027924380cbfa7ba0d8c4e753d95f654a58f5a16a0f4b,0111100011111000100110001001110010011100100111001100100011101000,sha:ff88146bf7ff65311b8027924380cbfa7ba0d8c4e753d95f654a58f5a16a0f4b,train
data/raw/benign/1010.jpg,benign\1010.jpg,1010.jpg,benign,0,260ebaec3cc65bf10c4b92ed3fa1b5afb89a9f492b4e9cd54dd233ce1d783a12,1100111010001110100001101000011110001111110011111100000111000001,sha:260ebaec3cc65bf10c4b92ed3fa1b5afb89a9f492b4e9cd54dd233ce1d783a12,train
data/raw/benign/1011.jpg,benign\1011.jpg,1011.jpg,benign,0,0640263e2159d5e5ccf89fd2d0dd831f3b33d2d3d3f3959fc9226897aaba027e,1110000011001110000011100000111000011110000111101101110011110100,sha:0640263e2159d5e5ccf89fd2d0dd831f3b33d2d3d3f3959fc9226897aaba027e,train
data/raw/benign/1014.jpg,benign\1014.jpg,1014.jpg,benign,0,7f93d46627803917dae2f17123d6a29077d6a6f2452e6e493ff4a9f968b8a3e0,1110110011110101101111111001111010001111100011110000111110010111,sha:7f93d46627803917dae2f17123d6a29077d6a6f2452e6e493ff4a9f968b8a3e0,train
data/raw/benign/1015.jpg,benign\1015.jpg,1015.jpg,benign,0,2c927a7b8cef62028b5b2a311f136fab2e5d51e551b13c6707df035c2de9e66d,1100101011001000100110001000111000011110000111100001111011011100,sha:2c927a7b8cef62028b5b2a311f136fab2e5d51e551b13c6707df035c2de9e66d,train
data/raw/benign/1016.jpg,benign\1016.jpg,1016.jpg,benign,0,6875b5c471de25a71e9d9cb3a1f21af39cfb956a22c1e19c002043fe42ce5c7b,1110010011000111100001110000011100001111100001111000001111000011,sha:6875b5c471de25a71e9d9cb3a1f21af39cfb956a22c1e19c002043fe42ce5c7b,train
data/raw/benign/102.jpg,benign\102.jpg,102.jpg,benign,0,0c418f5b0997a501ebfa71bfa5d21683305ca08716965147bb15b8a6e5e543c8,1110110011100110000011100000111000011110000111101001110011101100,sha:0c418f5b0997a501ebfa71bfa5d21683305ca08716965147bb15b8a6e5e543c8,train
data/raw/benign/1021.jpg,benign\1021.jpg,1021.jpg,benign,0,a4ce425b7bb6c1f5ad866713fbc8088c22f71b83504fe437239cd1157ac2a841,0001111000001111000011100000111100011111000001111000111110011110,sha:a4ce425b7bb6c1f5ad866713fbc8088c22f71b83504fe437239cd1157ac2a841,train
data/raw/benign/1022.jpg,benign\1022.jpg,1022.jpg,benign,0,65dd9665facdd87daec75a298182704fcfc6d8b807684f2a402fed279da9bd17,1111111001001100010011101000011010000111110001110100011100010111,sha:65dd9665facdd87daec75a298182704fcfc6d8b807684f2a402fed279da9bd17,train
data/raw/benign/1024.jpg,benign\1024.jpg,1024.jpg,benign,0,caf7bf03a2d8707079a25f09c44771d6dfc4ea6eaaefefef2860bbee5baa49a7,1111100010011000100111001001110010001110110011001111110011101100,sha:caf7bf03a2d8707079a25f09c44771d6dfc4ea6eaaefefef2860bbee5baa49a7,train
data/raw/benign/1026.jpg,benign\1026.jpg,1026.jpg,benign,0,6f53bb33a28dfa2a7c5fc503952f394a2f4e19e36f1bb3897320eb149749ce2f,1111011011000110100001100000111001001111111001111110011011100110,sha:6f53bb33a28dfa2a7c5fc503952f394a2f4e19e36f1bb3897320eb149749ce2f,train
data/raw/benign/1027.jpg,benign\1027.jpg,1027.jpg,benign,0,e9d8126a516a8cef2c4c0066b068ece5bb9d8a9efb9f29785709f67baadd23a3,0011000100011001000111110000011100011111110011101110100011111000,sha:e9d8126a516a8cef2c4c0066b068ece5bb9d8a9efb9f29785709f67baadd23a3,train
data/raw/benign/1028.jpg,benign\1028.jpg,1028.jpg,benign,0,608bde3bada14a17925ff8934a5e7ac5079f6d5acaccf8db8a31fd340621ecec,0000010000000110000111110001001100011111000011111000011111100000,sha:608bde3bada14a17925ff8934a5e7ac5079f6d5acaccf8db8a31fd340621ecec,train
data/raw/benign/1031.jpg,benign\1031.jpg,1031.jpg,benign,0,8ff3801a13394f2f1d858ec2a8e2518ee0be9aac16264711b12932235e872abb,1111001010000111100001111000011100001111000111100001111010011100,sha:8ff3801a13394f2f1d858ec2a8e2518ee0be9aac16264711b12932235e872abb,train
data/raw/benign/1032.jpg,benign\1032.jpg,1032.jpg,benign,0,40191c352457b2017ca998337e4668ca89d53aa33f54e1f87f52374016f06391,1110000110010001000011000000111010001110110011101100111011101010,sha:40191c352457b2017ca998337e4668ca89d53aa33f54e1f87f52374016f06391,train
data/raw/benign/1035.jpg,benign\1035.jpg,1035.jpg,benign,0,e25aa3637632ff9ed22b201ba7f2245a299d6916a3d802b87e2df6a44600a98a,1101100011001100101011100011111000101110001001101100011011100110,sha:e25aa3637632ff9ed22b201ba7f2245a299d6916a3d802b87e2df6a44600a98a,train
data/raw/benign/1038.jpg,benign\1038.jpg,1038.jpg,benign,0,e128df76bba510dde566e2548f9dd40a978f466b767c01af8151e69f1b1bf713,0110000111001010100011001000110010001100100011001100011011000000,sha:e128df76bba510dde566e2548f9dd40a978f466b767c01af8151e69f1b1bf713,train
data/raw/benign/1039.jpg,benign\1039.jpg,1039.jpg,benign,0,b33e9be683579b56d7629b54308bf775ed17c6011175fced6a934de0cf413363,0011000000111000000011001000110011001101110010001100100111001100,sha:b33e9be683579b56d7629b54308bf775ed17c6011175fced6a934de0cf413363,train
